province_code,province_name,party_name,candidate_name,candidate_prob,int_prob
11,서울,blue,박원순,0.96344,96
11,서울,red,정몽준,0.03656,4
21,부산,red,서병수,0.53816,54
21,부산,blue,오거돈,0.46184,46
22,대구,red,권영진,0.95188,95
22,대구,blue,김부겸,0.04812,5
23,인천,blue,송영길,0.69681,70
23,인천,red,유정복,0.30319,30
24,광주,grey,강운태,0.7655,77
24,광주,blue,윤장현,0.2345,23
25,대전,red,박성효,0.80607,81
25,대전,blue,권선택,0.19393,19
26,울산,red,김기현,0.99523,100
26,울산,blue,조승수,0.00477,0
29,세종,red,유한식,0.50728,51
29,세종,blue,이춘희,0.49272,49
31,경기도,red,남경필,0.6989,70
31,경기도,blue,김진표,0.3011,30
32,강원도,blue,최문순,0.59768,60
32,강원도,red,최흥집,0.40232,40
33,충청북도,blue,이시종,0.66451,66
33,충청북도,red,윤진식,0.33549,34
34,충청남도,blue,안희정,0.77209,77
34,충청남도,red,정진석,0.22791,23
35,전라북도,blue,송하진,1,100
35,전라북도,turquoise,박주현,0,0
36,전라남도,blue,이낙연,1,100
36,전라남도,green,이성수,0,0
37,경상북도,red,김관용,1,100
37,경상북도,blue,오중기,0,0
38,경상남도,red,홍준표,0.99984,100
38,경상남도,blue,김경수,0.00016,0
39,제주도,red,원희룡,0.99964,100
39,제주도,blue,신구범,0.00036,0